$t$ / s;$U_A1$ / V;$U_B1$ / V
3,3;-0,002;2,69
3,4;0,013;2,56
3,5;0,011;2,42
3,6;-0,008;2,29
3,7;-0,047;2,18
3,8;-0,096;2,09
3,9;-0,151;2,05
4;-0,211;2,04
4,1;-0,263;2,08
4,2;-0,305;2,16
4,3;-0,333;2,28
4,4;-0,34;2,4
4,5;-0,329;2,54
4,6;-0,298;2,66
4,7;-0,248;2,76
4,8;-0,185;2,83
4,9;-0,123;2,85
5;-0,059;2,84
5,1;-0,001;2,78
5,2;0,042;2,69
5,3;0,064;2,57
5,4;0,063;2,45
5,5;0,042;2,32
5,6;-0,001;2,21
5,7;-0,061;2,13
5,8;-0,134;2,08
5,9;-0,204;2,07
6;-0,276;2,1
6,1;-0,334;2,16
6,2;-0,372;2,26
6,3;-0,391;2,38
6,4;-0,379;2,51
6,5;-0,345;2,62
6,6;-0,288;2,72
6,7;-0,215;2,79
6,8;-0,135;2,82
6,9;-0,056;2,82
7;0,017;2,77
7,1;0,074;2,69
7,2;0,105;2,58
7,3;0,112;2,47
7,4;0,088;2,35
7,5;0,041;2,25
7,6;-0,026;2,17
7,7;-0,111;2,12
7,8;-0,199;2,1
7,9;-0,288;2,12
8;-0,359;2,18
8,1;-0,412;2,26
8,2;-0,432;2,37
8,3;-0,426;2,48
8,4;-0,393;2,59
8,5;-0,329;2,68
8,6;-0,246;2,75
8,7;-0,154;2,79
8,8;-0,059;2,79
8,9;0,031;2,75
9;0,096;2,69
9,1;0,141;2,6
9,2;0,153;2,49
9,3;0,136;2,39
9,4;0,086;2,29
9,5;0,011;2,2
9,6;-0,082;2,15
9,7;-0,187;2,14
9,8;-0,289;2,15
9,9;-0,376;2,2
10;-0,439;2,26
10,1;-0,472;2,36
10,2;-0,471;2,46
10,3;-0,437;2,55
10,4;-0,369;2,64
10,5;-0,279;2,71
10,6;-0,174;2,74
10,7;-0,066;2,75
10,8;0,037;2,72
10,9;0,116;2,67
